Order,PathIDs,Weight_of_path,Quarter,Route
0,14.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
1,228.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
2,181.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
3,189.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
4,61.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
5,35.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
6,76.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
7,72.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
8,39.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
9,155.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
10,154.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
11,150.0,1709524.7700000003,2019-Q1,Bay_Ridge_to_Manhattan_Beach
0,14.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
1,228.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
2,181.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
3,189.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
4,61.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
5,35.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
6,76.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
7,72.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
8,39.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
9,155.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
10,154.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
11,150.0,2708055.3799999994,2019-Q2,Bay_Ridge_to_Manhattan_Beach
0,14.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
1,228.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
2,181.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
3,189.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
4,61.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
5,35.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
6,76.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
7,72.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
8,39.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
9,155.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
10,154.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
11,150.0,2314553.21,2019-Q3,Bay_Ridge_to_Manhattan_Beach
0,14.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
1,228.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
2,181.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
3,189.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
4,61.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
5,35.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
6,76.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
7,72.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
8,39.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
9,155.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
10,154.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
11,150.0,2678831.7,2019-Q4,Bay_Ridge_to_Manhattan_Beach
0,14.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
1,228.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
2,181.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
3,189.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
4,61.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
5,35.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
6,76.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
7,72.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
8,39.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
9,155.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
10,154.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
11,150.0,2515863.2600000002,2020-Q1,Bay_Ridge_to_Manhattan_Beach
0,14.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
1,228.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
2,181.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
3,189.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
4,61.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
5,35.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
6,76.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
7,72.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
8,39.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
9,155.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
10,154.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
11,150.0,1431130.4500000002,2020-Q2,Bay_Ridge_to_Manhattan_Beach
0,14.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
1,228.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
