Order,PathIDs,Weight_of_path,Quarter,Route
0,14.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
1,228.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
2,181.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
3,189.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
4,61.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
5,35.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
6,76.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
7,72.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
8,39.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
9,155.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
10,154.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
11,150.0,160108,2017-Q3,Bay_Ridge_to_Manhattan_Beach
0,14.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
1,228.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
2,181.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
3,189.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
4,61.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
5,35.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
6,76.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
7,72.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
8,39.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
9,155.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
10,154.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
11,150.0,204078,2017-Q4,Bay_Ridge_to_Manhattan_Beach
0,14.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
1,228.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
2,181.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
3,189.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
4,61.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
5,35.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
6,76.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
7,72.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
8,39.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
9,155.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
10,154.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
11,150.0,248654,2018-Q1,Bay_Ridge_to_Manhattan_Beach
0,14.0,272781,2018-Q2,Bay_Ridge_to_Manhattan_Beach
1,228.0,272781,2018-Q2,Bay_Ridge_to_Manhattan_Beach
2,181.0,272781,2018-Q2,Bay_Ridge_to_Manhattan_Beach
3,189.0,272781,2018-Q2,Bay_Ridge_to_Manhattan_Beach
4,61.0,272781,2018-Q2,Bay_Ridge_to_Manhattan_Beach
5,35.0,272781,2018-Q2,Bay_Ridge_to_Manhattan_Beach
6,76.0,272781,2018-Q2,Bay_Ridge_to_Manhattan_Beach
7,72.0,272781,2018-Q2,Bay_Ridge_to_Manhattan_Beach
