Order,PathIDs,Weight_of_path,Quarter,Route
0,14.0,160108,2017-Q3,BR_to_MB
1,228.0,160108,2017-Q3,BR_to_MB
2,181.0,160108,2017-Q3,BR_to_MB
3,189.0,160108,2017-Q3,BR_to_MB
4,61.0,160108,2017-Q3,BR_to_MB
5,35.0,160108,2017-Q3,BR_to_MB
6,76.0,160108,2017-Q3,BR_to_MB
7,72.0,160108,2017-Q3,BR_to_MB
8,39.0,160108,2017-Q3,BR_to_MB
9,155.0,160108,2017-Q3,BR_to_MB
10,154.0,160108,2017-Q3,BR_to_MB
11,150.0,160108,2017-Q3,BR_to_MB
0,14.0,204078,2017-Q4,BR_to_MB
1,228.0,204078,2017-Q4,BR_to_MB
2,181.0,204078,2017-Q4,BR_to_MB
3,189.0,204078,2017-Q4,BR_to_MB
4,61.0,204078,2017-Q4,BR_to_MB
5,35.0,204078,2017-Q4,BR_to_MB
6,76.0,204078,2017-Q4,BR_to_MB
7,72.0,204078,2017-Q4,BR_to_MB
8,39.0,204078,2017-Q4,BR_to_MB
9,155.0,204078,2017-Q4,BR_to_MB
10,154.0,204078,2017-Q4,BR_to_MB
11,150.0,204078,2017-Q4,BR_to_MB
0,14.0,248654,2018-Q1,BR_to_MB
1,228.0,248654,2018-Q1,BR_to_MB
2,181.0,248654,2018-Q1,BR_to_MB
3,189.0,248654,2018-Q1,BR_to_MB
4,61.0,248654,2018-Q1,BR_to_MB
5,35.0,248654,2018-Q1,BR_to_MB
6,76.0,248654,2018-Q1,BR_to_MB
7,72.0,248654,2018-Q1,BR_to_MB
8,39.0,248654,2018-Q1,BR_to_MB
9,155.0,248654,2018-Q1,BR_to_MB
10,154.0,248654,2018-Q1,BR_to_MB
11,150.0,248654,2018-Q1,BR_to_MB
0,14.0,272781,2018-Q2,BR_to_MB
1,228.0,272781,2018-Q2,BR_to_MB
2,181.0,272781,2018-Q2,BR_to_MB
3,189.0,272781,2018-Q2,BR_to_MB
4,61.0,272781,2018-Q2,BR_to_MB
5,35.0,272781,2018-Q2,BR_to_MB
6,76.0,272781,2018-Q2,BR_to_MB
7,72.0,272781,2018-Q2,BR_to_MB
8,39.0,272781,2018-Q2,BR_to_MB
9,155.0,272781,2018-Q2,BR_to_MB
10,154.0,272781,2018-Q2,BR_to_MB
11,150.0,272781,2018-Q2,BR_to_MB
0,14.0,275081,2018-Q3,BR_to_MB
1,228.0,275081,2018-Q3,BR_to_MB
2,181.0,275081,2018-Q3,BR_to_MB
3,189.0,275081,2018-Q3,BR_to_MB
4,61.0,275081,2018-Q3,BR_to_MB
5,35.0,275081,2018-Q3,BR_to_MB
6,76.0,275081,2018-Q3,BR_to_MB
7,72.0,275081,2018-Q3,BR_to_MB
8,39.0,275081,2018-Q3,BR_to_MB
9,155.0,275081,2018-Q3,BR_to_MB
10,154.0,275081,2018-Q3,BR_to_MB
11,150.0,275081,2018-Q3,BR_to_MB
0,14.0,272267,2018-Q4,BR_to_MB
1,228.0,272267,2018-Q4,BR_to_MB
2,181.0,272267,2018-Q4,BR_to_MB
3,189.0,272267,2018-Q4,BR_to_MB
4,61.0,272267,2018-Q4,BR_to_MB
5,35.0,272267,2018-Q4,BR_to_MB
6,76.0,272267,2018-Q4,BR_to_MB
7,72.0,272267,2018-Q4,BR_to_MB
8,39.0,272267,2018-Q4,BR_to_MB
9,155.0,272267,2018-Q4,BR_to_MB
10,154.0,272267,2018-Q4,BR_to_MB
11,150.0,272267,2018-Q4,BR_to_MB
0,14.0,215671,2019-Q1,BR_to_MB
1,228.0,215671,2019-Q1,BR_to_MB
2,181.0,215671,2019-Q1,BR_to_MB
3,189.0,215671,2019-Q1,BR_to_MB
4,61.0,215671,2019-Q1,BR_to_MB
5,35.0,215671,2019-Q1,BR_to_MB
6,76.0,215671,2019-Q1,BR_to_MB
7,72.0,215671,2019-Q1,BR_to_MB
8,39.0,215671,2019-Q1,BR_to_MB
9,155.0,215671,2019-Q1,BR_to_MB
10,154.0,215671,2019-Q1,BR_to_MB
11,150.0,215671,2019-Q1,BR_to_MB
0,14.0,333955,2019-Q2,BR_to_MB
1,228.0,333955,2019-Q2,BR_to_MB
2,181.0,333955,2019-Q2,BR_to_MB
3,189.0,333955,2019-Q2,BR_to_MB
4,61.0,333955,2019-Q2,BR_to_MB
5,35.0,333955,2019-Q2,BR_to_MB
6,76.0,333955,2019-Q2,BR_to_MB
7,72.0,333955,2019-Q2,BR_to_MB
8,39.0,333955,2019-Q2,BR_to_MB
9,155.0,333955,2019-Q2,BR_to_MB
10,154.0,333955,2019-Q2,BR_to_MB
11,150.0,333955,2019-Q2,BR_to_MB
0,14.0,305597,2019-Q3,BR_to_MB
1,228.0,305597,2019-Q3,BR_to_MB
2,181.0,305597,2019-Q3,BR_to_MB
3,189.0,305597,2019-Q3,BR_to_MB
4,61.0,305597,2019-Q3,BR_to_MB
5,35.0,305597,2019-Q3,BR_to_MB
6,76.0,305597,2019-Q3,BR_to_MB
7,72.0,305597,2019-Q3,BR_to_MB
8,39.0,305597,2019-Q3,BR_to_MB
