Order,PathIDs,Weight_of_path,Quarter,Route
0,14.0,1709524.7700000003,2019-Q1,BR_to_MB
1,228.0,1709524.7700000003,2019-Q1,BR_to_MB
2,181.0,1709524.7700000003,2019-Q1,BR_to_MB
3,189.0,1709524.7700000003,2019-Q1,BR_to_MB
4,61.0,1709524.7700000003,2019-Q1,BR_to_MB
5,35.0,1709524.7700000003,2019-Q1,BR_to_MB
6,76.0,1709524.7700000003,2019-Q1,BR_to_MB
7,72.0,1709524.7700000003,2019-Q1,BR_to_MB
8,39.0,1709524.7700000003,2019-Q1,BR_to_MB
9,155.0,1709524.7700000003,2019-Q1,BR_to_MB
10,154.0,1709524.7700000003,2019-Q1,BR_to_MB
11,150.0,1709524.7700000003,2019-Q1,BR_to_MB
0,14.0,2708055.3799999994,2019-Q2,BR_to_MB
1,228.0,2708055.3799999994,2019-Q2,BR_to_MB
2,181.0,2708055.3799999994,2019-Q2,BR_to_MB
3,189.0,2708055.3799999994,2019-Q2,BR_to_MB
4,61.0,2708055.3799999994,2019-Q2,BR_to_MB
5,35.0,2708055.3799999994,2019-Q2,BR_to_MB
6,76.0,2708055.3799999994,2019-Q2,BR_to_MB
7,72.0,2708055.3799999994,2019-Q2,BR_to_MB
8,39.0,2708055.3799999994,2019-Q2,BR_to_MB
9,155.0,2708055.3799999994,2019-Q2,BR_to_MB
10,154.0,2708055.3799999994,2019-Q2,BR_to_MB
11,150.0,2708055.3799999994,2019-Q2,BR_to_MB
0,14.0,2314553.21,2019-Q3,BR_to_MB
1,228.0,2314553.21,2019-Q3,BR_to_MB
2,181.0,2314553.21,2019-Q3,BR_to_MB
3,189.0,2314553.21,2019-Q3,BR_to_MB
4,61.0,2314553.21,2019-Q3,BR_to_MB
5,35.0,2314553.21,2019-Q3,BR_to_MB
6,76.0,2314553.21,2019-Q3,BR_to_MB
7,72.0,2314553.21,2019-Q3,BR_to_MB
8,39.0,2314553.21,2019-Q3,BR_to_MB
9,155.0,2314553.21,2019-Q3,BR_to_MB
10,154.0,2314553.21,2019-Q3,BR_to_MB
11,150.0,2314553.21,2019-Q3,BR_to_MB
0,14.0,2678831.7,2019-Q4,BR_to_MB
1,228.0,2678831.7,2019-Q4,BR_to_MB
2,181.0,2678831.7,2019-Q4,BR_to_MB
3,189.0,2678831.7,2019-Q4,BR_to_MB
4,61.0,2678831.7,2019-Q4,BR_to_MB
5,35.0,2678831.7,2019-Q4,BR_to_MB
6,76.0,2678831.7,2019-Q4,BR_to_MB
7,72.0,2678831.7,2019-Q4,BR_to_MB
8,39.0,2678831.7,2019-Q4,BR_to_MB
9,155.0,2678831.7,2019-Q4,BR_to_MB
10,154.0,2678831.7,2019-Q4,BR_to_MB
11,150.0,2678831.7,2019-Q4,BR_to_MB
0,14.0,2515863.2600000002,2020-Q1,BR_to_MB
1,228.0,2515863.2600000002,2020-Q1,BR_to_MB
2,181.0,2515863.2600000002,2020-Q1,BR_to_MB
3,189.0,2515863.2600000002,2020-Q1,BR_to_MB
4,61.0,2515863.2600000002,2020-Q1,BR_to_MB
5,35.0,2515863.2600000002,2020-Q1,BR_to_MB
6,76.0,2515863.2600000002,2020-Q1,BR_to_MB
7,72.0,2515863.2600000002,2020-Q1,BR_to_MB
8,39.0,2515863.2600000002,2020-Q1,BR_to_MB
9,155.0,2515863.2600000002,2020-Q1,BR_to_MB
10,154.0,2515863.2600000002,2020-Q1,BR_to_MB
11,150.0,2515863.2600000002,2020-Q1,BR_to_MB
0,14.0,1431130.4500000002,2020-Q2,BR_to_MB
1,228.0,1431130.4500000002,2020-Q2,BR_to_MB
2,181.0,1431130.4500000002,2020-Q2,BR_to_MB
3,189.0,1431130.4500000002,2020-Q2,BR_to_MB
4,61.0,1431130.4500000002,2020-Q2,BR_to_MB
5,35.0,1431130.4500000002,2020-Q2,BR_to_MB
6,76.0,1431130.4500000002,2020-Q2,BR_to_MB
7,72.0,1431130.4500000002,2020-Q2,BR_to_MB
