Order,PathIDs,Quarter
0,14.0,2017-Q2
1,228.0,2017-Q2
2,181.0,2017-Q2
3,189.0,2017-Q2
4,61.0,2017-Q2
5,72.0,2017-Q2
6,39.0,2017-Q2
7,91.0,2017-Q2
8,155.0,2017-Q2
0,14.0,2017-Q3
1,228.0,2017-Q3
2,257.0,2017-Q3
3,89.0,2017-Q3
4,71.0,2017-Q3
5,72.0,2017-Q3
6,39.0,2017-Q3
7,91.0,2017-Q3
8,155.0,2017-Q3
0,14.0,2017-Q4
1,67.0,2017-Q4
2,26.0,2017-Q4
3,89.0,2017-Q4
4,91.0,2017-Q4
5,72.0,2017-Q4
6,76.0,2017-Q4
7,39.0,2017-Q4
8,155.0,2017-Q4
0,14.0,2018-Q1
1,67.0,2018-Q1
2,26.0,2018-Q1
3,89.0,2018-Q1
4,91.0,2018-Q1
5,72.0,2018-Q1
6,76.0,2018-Q1
7,39.0,2018-Q1
8,155.0,2018-Q1
0,14.0,2018-Q2
1,67.0,2018-Q2
2,26.0,2018-Q2
3,89.0,2018-Q2
4,91.0,2018-Q2
5,72.0,2018-Q2
6,76.0,2018-Q2
7,39.0,2018-Q2
8,155.0,2018-Q2
0,14.0,2018-Q3
1,67.0,2018-Q3
2,26.0,2018-Q3
3,89.0,2018-Q3
4,91.0,2018-Q3
5,72.0,2018-Q3
6,76.0,2018-Q3
7,39.0,2018-Q3
8,155.0,2018-Q3
0,14.0,2018-Q4
1,67.0,2018-Q4
2,26.0,2018-Q4
3,89.0,2018-Q4
4,91.0,2018-Q4
5,72.0,2018-Q4
6,76.0,2018-Q4
7,39.0,2018-Q4
8,155.0,2018-Q4
0,14.0,2019-Q1
1,67.0,2019-Q1
2,26.0,2019-Q1
3,89.0,2019-Q1
4,91.0,2019-Q1
5,72.0,2019-Q1
6,76.0,2019-Q1
7,39.0,2019-Q1
8,155.0,2019-Q1
0,14.0,2019-Q2
1,67.0,2019-Q2
2,26.0,2019-Q2
3,89.0,2019-Q2
4,91.0,2019-Q2
5,72.0,2019-Q2
6,76.0,2019-Q2
7,39.0,2019-Q2
8,155.0,2019-Q2
0,14.0,2019-Q3
1,67.0,2019-Q3
2,26.0,2019-Q3
