Date,W/L
Thursday Apr 1,L
Saturday Apr 3,W
Sunday Apr 4,L
Monday Apr 5,W
Tuesday Apr 6,W
Wednesday Apr 7,L
Friday Apr 16,L
Saturday Apr 17,L
Sunday Apr 18,L
Tuesday Apr 20,W
Wednesday Apr 21,L
Friday Apr 30,W
Saturday May 1,W
Sunday May 2,W
Tuesday May 4,W
Wednesday May 5,W
Thursday May 6,L
Friday May 7,L
Saturday May 8,W
Sunday May 9,W
Friday May 21,W
Saturday May 22,W
Sunday May 23,W
Tuesday May 25,L
Thursday May 27,L
Thursday May 27,W
Monday May 31,L
Tuesday Jun 1,W
Wednesday Jun 2,W
Thursday Jun 3,L
Friday Jun 4,L
Saturday Jun 5,L
Sunday Jun 6,L
Friday Jun 18,L
Saturday Jun 19,W
Sunday Jun 20,W
Tuesday Jun 22,L
Wednesday Jun 23,W
Thursday Jun 24,W
Monday Jun 28,L
Tuesday Jun 29,W
Wednesday Jun 30,L
Saturday Jul 3,L
Sunday Jul 4,L
Sunday Jul 4,W
Friday Jul 16,L
Saturday Jul 17,W
Sunday Jul 18,W
Tuesday Jul 20,W
Wednesday Jul 21,W
Monday Aug 2,L
Tuesday Aug 3,W
Wednesday Aug 4,W
Thursday Aug 5,W
Friday Aug 6,W
Saturday Aug 7,W
Sunday Aug 8,L
Monday Aug 16,W
Tuesday Aug 17,W
Tuesday Aug 17,W
Wednesday Aug 18,W
Thursday Aug 19,W
Friday Aug 20,W
Saturday Aug 21,W
Friday Sep 3,W
Saturday Sep 4,L
Sunday Sep 5,L
Monday Sep 6,L
Tuesday Sep 7,L
Wednesday Sep 8,L
Thursday Sep 9,L
Monday Sep 13,W
Friday Sep 17,W
Saturday Sep 18,L
Sunday Sep 19,L
Monday Sep 20,W
Tuesday Sep 21,W
Wednesday Sep 22,W
Friday Oct 1,L
Saturday Oct 2,L
Sunday Oct 3,W
