PULocationID,year-month,trips
1,2019-02-01,4
1,2019-03-01,1
1,2019-05-01,2
1,2019-06-01,3
1,2019-07-01,2
1,2019-08-01,4
1,2019-09-01,1
1,2019-10-01,2
1,2019-11-01,1
1,2019-12-01,3
1,2020-01-01,1
1,2020-02-01,2
1,2020-03-01,1
1,2020-08-01,2
1,2020-10-01,1
1,2020-11-01,1
1,2020-12-01,1
1,2021-06-01,1
1,2021-08-01,1
2,2022-10-01,1
2,2023-03-01,1
3,2019-02-01,3
3,2019-03-01,11
3,2019-04-01,8
3,2019-05-01,4
3,2019-06-01,7
3,2019-07-01,5
3,2019-08-01,16
3,2019-09-01,14
3,2019-10-01,11
3,2019-11-01,6
3,2019-12-01,5
3,2020-01-01,10
3,2020-02-01,8
3,2020-03-01,4
3,2020-04-01,1
3,2020-05-01,10
3,2020-06-01,15
3,2020-07-01,4
3,2020-08-01,7
3,2020-09-01,3
3,2020-10-01,3
3,2020-11-01,11
3,2020-12-01,9
3,2021-01-01,11
3,2021-02-01,11
3,2021-03-01,12
3,2021-04-01,16
3,2021-05-01,5
3,2021-06-01,8
3,2021-07-01,10
3,2021-08-01,5
3,2021-09-01,3
3,2021-10-01,9
3,2021-11-01,9
3,2021-12-01,3
3,2022-01-01,5
3,2022-02-01,7
3,2022-03-01,8
3,2022-04-01,11
3,2022-05-01,11
3,2022-06-01,6
3,2022-07-01,10
3,2022-08-01,11
3,2022-09-01,6
3,2022-10-01,13
3,2022-11-01,9
3,2022-12-01,12
3,2023-01-01,11
3,2023-02-01,13
3,2023-03-01,26
3,2023-04-01,12
4,2019-02-01,298
4,2019-03-01,337
4,2019-04-01,330
4,2019-05-01,365
4,2019-06-01,284
4,2019-07-01,353
4,2019-08-01,319
4,2019-09-01,251
4,2019-10-01,256
4,2019-11-01,211
4,2019-12-01,193
4,2020-01-01,266
4,2020-02-01,295
4,2020-03-01,207
4,2020-04-01,35
4,2020-05-01,42
4,2020-06-01,54
4,2020-07-01,71
4,2020-08-01,78
4,2020-09-01,85
4,2020-10-01,94
4,2020-11-01,86
4,2020-12-01,61
4,2021-01-01,74
4,2021-02-01,70
4,2021-03-01,98
4,2021-04-01,110
4,2021-05-01,109
4,2021-06-01,110
4,2021-07-01,120
4,2021-08-01,98
4,2021-09-01,102
4,2021-10-01,130
4,2021-11-01,120
4,2021-12-01,120
4,2022-01-01,84
4,2022-02-01,156
4,2022-03-01,187
4,2022-04-01,202
4,2022-05-01,198
4,2022-06-01,234
4,2022-07-01,237
4,2022-08-01,261
4,2022-09-01,177
4,2022-10-01,189
4,2022-11-01,151
4,2022-12-01,118
4,2023-01-01,105
4,2023-02-01,86
4,2023-03-01,122
4,2023-04-01,129
5,2019-06-01,1
5,2019-09-01,1
5,2019-10-01,2
5,2019-11-01,4
5,2019-12-01,3
5,2020-01-01,3
5,2020-03-01,3
5,2020-04-01,1
5,2020-06-01,1
5,2020-07-01,1
5,2021-02-01,1
5,2021-08-01,1
5,2021-09-01,1
5,2021-10-01,1
5,2022-02-01,1
5,2022-03-01,2
5,2022-05-01,3
5,2022-06-01,1
5,2022-11-01,1
5,2023-01-01,2
6,2019-02-01,2
6,2019-03-01,1
6,2019-04-01,2
6,2019-05-01,1
6,2019-07-01,2
6,2019-08-01,2
6,2019-10-01,2
6,2019-11-01,2
6,2020-03-01,1
6,2020-07-01,1
6,2020-08-01,1
6,2020-12-01,1
6,2021-01-01,1
6,2021-04-01,2
6,2021-05-01,1
6,2021-06-01,2
6,2021-07-01,1
6,2021-08-01,1
6,2021-09-01,1
6,2021-10-01,2
6,2021-11-01,2
6,2022-01-01,1
6,2022-02-01,1
6,2022-03-01,2
6,2022-04-01,2
6,2022-05-01,1
6,2022-07-01,2
6,2022-08-01,1
6,2022-10-01,2
6,2022-11-01,1
6,2022-12-01,1
6,2023-02-01,1
6,2023-03-01,8
7,2019-02-01,197
7,2019-03-01,209
7,2019-04-01,190
7,2019-05-01,184
7,2019-06-01,212
7,2019-07-01,179
7,2019-08-01,194
7,2019-09-01,166
7,2019-10-01,186
7,2019-11-01,173
7,2019-12-01,156
7,2020-01-01,177
7,2020-02-01,152
7,2020-03-01,176
7,2020-04-01,86
7,2020-05-01,79
7,2020-06-01,133
7,2020-07-01,141
7,2020-08-01,132
7,2020-09-01,181
7,2020-10-01,239
7,2020-11-01,164
7,2020-12-01,161
7,2021-01-01,173
7,2021-02-01,179
7,2021-03-01,205
7,2021-04-01,214
7,2021-05-01,192
7,2021-06-01,165
7,2021-07-01,160
7,2021-08-01,160
7,2021-09-01,157
7,2021-10-01,161
7,2021-11-01,165
7,2021-12-01,201
7,2022-01-01,167
7,2022-02-01,167
7,2022-03-01,199
7,2022-04-01,232
7,2022-05-01,205
7,2022-06-01,201
7,2022-07-01,183
7,2022-08-01,209
7,2022-09-01,202
7,2022-10-01,209
7,2022-11-01,136
7,2022-12-01,167
7,2023-01-01,132
7,2023-02-01,147
7,2023-03-01,183
7,2023-04-01,157
8,2019-02-01,1
8,2019-03-01,1
8,2019-04-01,2
8,2019-10-01,1
8,2019-11-01,1
8,2022-03-01,1
8,2022-12-01,1
9,2019-02-01,6
9,2019-03-01,16
9,2019-04-01,13
9,2019-05-01,20
9,2019-06-01,7
9,2019-07-01,7
9,2019-08-01,14
9,2019-09-01,10
9,2019-10-01,14
9,2019-11-01,8
9,2019-12-01,9
9,2020-01-01,11
9,2020-02-01,17
9,2020-03-01,5
9,2020-05-01,1
9,2020-06-01,5
9,2020-08-01,13
9,2020-09-01,5
9,2020-10-01,3
9,2020-11-01,1
9,2020-12-01,1
9,2021-02-01,18
9,2021-03-01,16
9,2021-04-01,8
9,2021-05-01,20
9,2021-06-01,12
9,2021-07-01,11
9,2021-08-01,9
9,2021-09-01,4
9,2021-10-01,5
9,2021-11-01,3
9,2021-12-01,4
9,2022-01-01,2
9,2022-02-01,1
9,2022-04-01,1
9,2022-05-01,2
9,2022-06-01,5
9,2022-07-01,4
9,2022-08-01,8
9,2022-09-01,14
9,2022-10-01,5
9,2022-11-01,3
9,2022-12-01,6
9,2023-02-01,1
9,2023-03-01,1
9,2023-04-01,4
10,2019-02-01,9
10,2019-03-01,24
10,2019-04-01,16
10,2019-05-01,14
10,2019-06-01,19
10,2019-07-01,16
10,2019-08-01,20
10,2019-09-01,12
10,2019-10-01,9
10,2019-11-01,26
10,2019-12-01,25
10,2020-01-01,17
10,2020-02-01,14
10,2020-03-01,6
10,2020-04-01,3
10,2020-05-01,3
10,2020-06-01,6
10,2020-07-01,31
10,2020-08-01,26
10,2020-09-01,15
10,2020-10-01,12
10,2020-11-01,4
10,2020-12-01,4
