PULocationID,2019,2022,Comparison
191,3,36,1100
177,13,118,807.6923077
214,1,8,700
46,1,5,400
194,1,5,400
205,6,28,366.6666667
71,13,58,346.1538462
216,18,71,294.4444444
26,15,59,293.3333333
149,9,35,288.8888889
21,14,54,285.7142857
91,28,100,257.1428571
202,35,123,251.4285714
117,2,7,250
32,33,113,242.4242424
175,7,21,200
159,65,179,175.3846154
153,3,8,166.6666667
252,12,32,166.6666667
217,18,46,155.5555556
139,2,5,150
156,2,5,150
241,45,110,144.4444444
92,54,129,138.8888889
55,16,38,137.5
136,41,97,136.5853659
134,25,59,136
119,66,149,125.7575758
101,4,9,125
127,142,319,124.6478873
12,5,11,120
133,34,74,117.6470588
17,119,256,115.1260504
248,28,60,114.2857143
123,11,23,109.0909091
76,25,51,104
96,1,2,100
118,12,24,100
251,5,10,100
51,32,63,96.875
60,30,56,86.66666667
64,7,13,85.71428571
81,29,52,79.31034483
121,9,16,77.77777778
10,60,104,73.33333333
145,575,993,72.69565217
213,50,86,72
109,3,5,66.66666667
131,12,20,66.66666667
222,3,5,66.66666667
189,98,162,65.30612245
72,17,28,64.70588235
112,409,673,64.54767726
209,224,367,63.83928571
254,38,62,63.15789474
235,70,114,62.85714286
61,157,253,61.14649682
129,123,198,60.97560976
256,269,433,60.96654275
11,10,16,60
28,22,35,59.09090909
108,12,19,58.33333333
18,60,94,56.66666667
157,81,126,55.55555556
22,51,79,54.90196078
3,22,34,54.54545455
200,145,223,53.79310345
23,12,18,50
44,4,6,50
124,15,22,46.66666667
88,261,380,45.59386973
183,18,26,44.44444444
147,40,57,42.5
115,5,7,40
208,36,50,38.88888889
244,595,819,37.64705882
179,213,292,37.08920188
240,11,15,36.36363636
263,1301,1769,35.97232898
126,40,54,35
89,95,127,33.68421053
178,6,8,33.33333333
41,560,746,33.21428571
242,34,45,32.35294118
167,57,75,31.57894737
212,30,39,30
169,74,96,29.72972973
40,164,209,27.43902439
192,11,14,27.27272727
261,489,619,26.58486708
68,3032,3838,26.58311346
87,938,1181,25.90618337
257,59,74,25.42372881
148,719,891,23.92211405
130,38,47,23.68421053
155,13,16,23.07692308
142,2743,3371,22.8946409
249,1631,2000,22.62415696
141,2055,2513,22.28710462
35,18,22,22.22222222
73,9,11,22.22222222
168,134,163,21.64179104
146,253,307,21.34387352
218,19,23,21.05263158
163,1175,1417,20.59574468
15,10,12,20
93,5,6,20
150,5,6,20
172,5,6,20
106,46,55,19.56521739
144,523,624,19.31166348
70,136,162,19.11764706
97,198,235,18.68686869
25,283,332,17.31448763
47,30,35,16.66666667
260,104,120,15.38461538
125,657,758,15.37290715
193,148,170,14.86486486
86,8,9,12.5
56,50,56,12
114,446,498,11.65919283
63,27,30,11.11111111
236,2724,2992,9.838472834
234,2353,2583,9.774755631
52,128,140,9.375
65,254,277,9.05511811
42,605,656,8.429752066
201,12,13,8.333333333
220,146,158,8.219178082
174,51,55,7.843137255
231,2693,2897,7.57519495
132,2926,3125,6.801093643
80,224,238,6.25
161,1271,1350,6.215578285
95,210,223,6.19047619
33,480,508,5.833333333
226,397,420,5.793450882
243,515,543,5.436893204
185,95,100,5.263157895
198,102,107,4.901960784
229,2444,2548,4.255319149
90,2182,2262,3.666361137
250,58,60,3.448275862
45,153,157,2.614379085
113,1158,1187,2.504317789
69,110,112,1.818181818
164,2860,2902,1.468531469
160,80,81,1.25
6,4,4,0
38,8,8,0
173,7,7,0
190,4,4,0
221,6,6,0
7,515,512,-0.582524272
79,1874,1863,-0.586979723
37,236,234,-0.847457627
238,1707,1689,-1.054481547
151,659,645,-2.124430956
181,396,385,-2.777777778
233,3305,3205,-3.025718608
227,27,26,-3.703703704
143,4373,4202,-3.910359021
85,25,24,-4
203,39,37,-5.128205128
107,2302,2166,-5.907906169
16,65,61,-6.153846154
152,211,198,-6.161137441
116,486,455,-6.378600823
246,4167,3887,-6.719462443
162,2072,1931,-6.805019305
102,28,26,-7.142857143
66,415,385,-7.228915663
100,1425,1320,-7.368421053
48,3447,3177,-7.832898172
239,2670,2457,-7.97752809
211,755,690,-8.609271523
158,1852,1690,-8.747300216
74,468,422,-9.829059829
225,198,175,-11.61616162
54,42,37,-11.9047619
13,1932,1697,-12.16356108
50,4851,4260,-12.18305504
77,8,7,-12.5
237,2472,2138,-13.51132686
94,58,50,-13.79310345
165,65,56,-13.84615385
230,1426,1221,-14.37587658
140,1767,1507,-14.71420487
219,20,17,-15
195,123,104,-15.44715447
186,2855,2386,-16.42732049
223,240,200,-16.66666667
138,6671,5546,-16.86403838
232,786,653,-16.92111959
170,4668,3872,-17.05227078
75,806,661,-17.99007444
228,98,80,-18.36734694
210,21,17,-19.04761905
24,229,185,-19.2139738
255,540,436,-19.25925926
36,178,143,-19.66292135
29,5,4,-20
82,95,76,-20
137,2458,1933,-21.35882832
43,398,307,-22.86432161
128,13,10,-23.07692308
98,12,9,-25
14,213,158,-25.82159624
49,274,203,-25.91240876
166,550,393,-28.54545455
67,34,24,-29.41176471
53,27,19,-29.62962963
83,40,28,-30
122,10,7,-30
4,660,458,-30.60606061
34,19,13,-31.57894737
224,844,576,-31.7535545
188,186,126,-32.25806452
196,63,41,-34.92063492
182,63,40,-36.50793651
262,1930,1198,-37.92746114
58,10,6,-40
258,56,33,-41.07142857
19,7,4,-42.85714286
215,25,14,-44
187,11,6,-45.45454545
8,2,1,-50
259,90,43,-52.22222222
9,31,14,-54.83870968
78,103,46,-55.33980583
180,18,8,-55.55555556
206,9,4,-55.55555556
31,14,6,-57.14285714
197,66,28,-57.57575758
39,47,19,-59.57446809
135,51,18,-64.70588235
62,70,24,-65.71428571
247,199,60,-69.84924623
20,74,20,-72.97297297
171,37,10,-72.97297297
184,4,1,-75
245,9,2,-77.77777778
5,9,1,-88.88888889
57,9,1,-88.88888889
1,6,,-100
253,2,,-100
59,,1,
111,,1,
120,,9,
176,,4,
204,,2,
265,,3,
2,,1,
