PULocationID,count,Borough,Zone,service_zone
132,346138,Queens,JFK Airport,Airports
138,307590,Queens,LaGuardia Airport,Airports
79,276059,Manhattan,East Village,Yellow Zone
230,242050,Manhattan,Times Sq/Theatre District,Yellow Zone
61,241050,Brooklyn,Crown Heights North,Boro Zone
161,237437,Manhattan,Midtown Center,Yellow Zone
231,226617,Manhattan,TriBeCa/Civic Center,Yellow Zone
234,216000,Manhattan,Union Sq,Yellow Zone
68,215758,Manhattan,East Chelsea,Yellow Zone
37,206472,Brooklyn,Bushwick South,Boro Zone
164,202965,Manhattan,Midtown South,Yellow Zone
148,201710,Manhattan,Lower East Side,Yellow Zone
246,199241,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
48,193499,Manhattan,Clinton East,Yellow Zone
255,193420,Brooklyn,Williamsburg (North Side),Boro Zone
76,192695,Brooklyn,East New York,Boro Zone
249,192329,Manhattan,West Village,Yellow Zone
7,181651,Queens,Astoria,Boro Zone
170,178882,Manhattan,Murray Hill,Yellow Zone
181,175495,Brooklyn,Park Slope,Boro Zone
42,168646,Manhattan,Central Harlem North,Boro Zone
163,162683,Manhattan,Midtown North,Yellow Zone
237,162586,Manhattan,Upper East Side South,Yellow Zone
112,161921,Brooklyn,Greenpoint,Boro Zone
107,160575,Manhattan,Gramercy,Yellow Zone
256,155208,Brooklyn,Williamsburg (South Side),Boro Zone
162,154912,Manhattan,Midtown East,Yellow Zone
17,154524,Brooklyn,Bedford,Boro Zone
236,154254,Manhattan,Upper East Side North,Yellow Zone
36,152612,Brooklyn,Bushwick North,Boro Zone
225,148923,Brooklyn,Stuyvesant Heights,Boro Zone
144,144078,Manhattan,Little Italy/NoLiTa,Yellow Zone
89,142782,Brooklyn,Flatbush/Ditmas Park,Boro Zone
80,139719,Brooklyn,East Williamsburg,Boro Zone
129,139258,Queens,Jackson Heights,Boro Zone
244,137276,Manhattan,Washington Heights South,Boro Zone
145,136716,Queens,Long Island City/Hunters Point,Boro Zone
188,134728,Brooklyn,Prospect-Lefferts Gardens,Boro Zone
141,132894,Manhattan,Lenox Hill West,Yellow Zone
90,131737,Manhattan,Flatiron,Yellow Zone
142,131709,Manhattan,Lincoln Square East,Yellow Zone
114,130838,Manhattan,Greenwich Village South,Yellow Zone
186,128723,Manhattan,Penn Station/Madison Sq West,Yellow Zone
82,127198,Queens,Elmhurst,Boro Zone
74,126861,Manhattan,East Harlem North,Boro Zone
39,126766,Brooklyn,Canarsie,Boro Zone
239,125185,Manhattan,Upper West Side South,Yellow Zone
229,124521,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
216,119780,Queens,South Ozone Park,Boro Zone
113,119645,Manhattan,Greenwich Village North,Yellow Zone
75,118362,Manhattan,East Harlem South,Boro Zone
140,117407,Manhattan,Lenox Hill East,Yellow Zone
41,117269,Manhattan,Central Harlem,Boro Zone
158,117153,Manhattan,Meatpacking/West Village West,Yellow Zone
130,116913,Queens,Jamaica,Boro Zone
95,115663,Queens,Forest Hills,Boro Zone
87,115000,Manhattan,Financial District North,Yellow Zone
233,114645,Manhattan,UN/Turtle Bay South,Yellow Zone
198,113832,Queens,Ridgewood,Boro Zone
211,112958,Manhattan,SoHo,Yellow Zone
100,112021,Manhattan,Garment District,Yellow Zone
50,111441,Manhattan,Clinton West,Yellow Zone
97,111348,Brooklyn,Fort Greene,Boro Zone
137,110875,Manhattan,Kips Bay,Yellow Zone
226,109787,Queens,Sunnyside,Boro Zone
263,109231,Manhattan,Yorkville West,Yellow Zone
35,108735,Brooklyn,Brownsville,Boro Zone
49,108378,Brooklyn,Clinton Hill,Boro Zone
26,108072,Brooklyn,Borough Park,Boro Zone
168,104966,Bronx,Mott Haven/Port Morris,Boro Zone
238,102700,Manhattan,Upper West Side North,Yellow Zone
143,102580,Manhattan,Lincoln Square West,Yellow Zone
25,102471,Brooklyn,Boerum Hill,Boro Zone
243,96050,Manhattan,Washington Heights North,Boro Zone
14,95529,Brooklyn,Bay Ridge,Boro Zone
72,90667,Brooklyn,East Flatbush/Remsen Village,Boro Zone
69,90180,Bronx,East Concourse/Concourse Village,Boro Zone
92,89947,Queens,Flushing,Boro Zone
13,87819,Manhattan,Battery Park City,Yellow Zone
91,86850,Brooklyn,Flatlands,Boro Zone
223,85756,Queens,Steinway,Boro Zone
232,84034,Manhattan,Two Bridges/Seward Park,Yellow Zone
228,83972,Brooklyn,Sunset Park West,Boro Zone
116,83556,Manhattan,Hamilton Heights,Boro Zone
213,83344,Bronx,Soundview/Castle Hill,Boro Zone
254,83268,Bronx,Williamsbridge/Olinville,Boro Zone
169,83239,Bronx,Mount Hope,Boro Zone
33,82250,Brooklyn,Brooklyn Heights,Boro Zone
18,81209,Bronx,Bedford Park,Boro Zone
247,81054,Bronx,West Concourse,Boro Zone
65,78152,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
159,77822,Bronx,Melrose South,Boro Zone
262,77759,Manhattan,Yorkville East,Yellow Zone
197,77535,Queens,Richmond Hill,Boro Zone
260,76914,Queens,Woodside,Boro Zone
177,76845,Brooklyn,Ocean Hill,Boro Zone
174,76452,Bronx,Norwood,Boro Zone
71,75968,Brooklyn,East Flatbush/Farragut,Boro Zone
235,75768,Bronx,University Heights/Morris Heights,Boro Zone
166,75694,Manhattan,Morningside Heights,Boro Zone
78,74202,Bronx,East Tremont,Boro Zone
242,71441,Bronx,Van Nest/Morris Park,Boro Zone
205,70856,Queens,Saint Albans,Boro Zone
261,69336,Manhattan,World Trade Center,Yellow Zone
241,67227,Bronx,Van Cortlandt Village,Boro Zone
167,66850,Bronx,Morrisania/Melrose,Boro Zone
51,66671,Bronx,Co-Op City,Boro Zone
62,64661,Brooklyn,Crown Heights South,Boro Zone
125,64303,Manhattan,Hudson Sq,Yellow Zone
189,63635,Brooklyn,Prospect Heights,Boro Zone
127,63584,Manhattan,Inwood,Boro Zone
4,63396,Manhattan,Alphabet City,Yellow Zone
66,63347,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
220,61968,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone
22,61786,Brooklyn,Bensonhurst West,Boro Zone
179,61784,Queens,Old Astoria,Boro Zone
47,60426,Bronx,Claremont/Bathgate,Boro Zone
