PUIDs,DOIDs,shortestpathIDs
2,30,2
2,30,30
2,132,2
2,132,132
3,32,3
3,32,184
3,32,242
3,32,31
3,32,32
3,51,3
3,51,184
3,51,51
3,81,3
3,81,184
3,81,81
3,184,3
3,184,184
3,185,3
3,185,184
3,185,242
3,185,31
3,185,185
3,242,3
3,242,184
3,242,242
3,254,3
3,254,184
3,254,242
3,254,31
3,254,254
4,79,4
4,79,224
4,79,79
4,148,4
4,148,148
4,224,4
4,224,224
4,232,4
4,232,232
4,255,4
4,255,255
5,84,5
5,84,99
5,84,84
5,99,5
5,99,99
5,204,5
5,204,99
5,204,204
6,14,6
6,14,14
6,115,6
6,115,115
6,118,6
6,118,118
6,214,6
6,214,214
6,221,6
6,221,221
7,146,7
7,146,207
7,146,223
7,146,8
7,146,179
7,146,193
7,146,146
7,179,7
7,179,207
7,179,223
7,179,8
7,179,179
7,193,7
7,193,207
7,193,223
7,193,8
7,193,179
7,193,193
7,207,7
7,207,207
7,223,7
7,223,207
7,223,223
7,226,7
7,226,207
7,226,223
7,226,8
7,226,179
7,226,193
7,226,146
7,226,226
7,260,7
7,260,207
7,260,260
8,179,8
8,179,179
8,194,8
8,194,194
8,223,8
8,223,223
9,16,9
9,16,98
9,16,16
9,73,9
9,73,73
9,98,9
9,98,98
9,121,9
9,121,121
9,171,9
9,171,171
9,192,9
9,192,192
10,205,10
10,205,205
10,215,10
10,215,215
10,216,10
10,216,219
10,216,216
10,218,10
10,218,218
10,219,10
10,219,219
11,14,11
11,14,14
11,22,11
11,22,22
11,67,11
11,67,67
12,13,12
12,13,13
12,54,12
12,54,54
12,88,12
12,88,88
12,261,12
12,261,261
13,12,13
13,12,12
13,231,13
13,231,12
13,231,261
13,231,209
13,231,231
13,261,13
13,261,12
13,261,261
14,6,14
14,6,6
14,11,14
14,11,11
14,67,14
14,67,11
14,67,67
14,227,14
14,227,227
14,228,14
14,228,227
14,228,111
14,228,228
15,16,15
15,16,16
15,171,15
15,171,171
15,208,15
15,208,208
15,252,15
15,252,208
15,252,252
16,9,16
16,9,98
16,9,9
16,15,16
16,15,15
16,64,16
16,64,64
16,98,16
16,98,98
16,171,16
16,171,171
16,175,16
16,175,98
16,175,175
17,37,17
17,37,37
17,49,17
17,49,49
17,61,17
17,61,61
17,80,17
17,80,80
17,217,17
17,217,80
17,217,217
17,225,17
17,225,225
18,20,18
18,20,20
18,94,18
18,94,94
18,136,18
18,136,136
18,174,18
18,174,20
18,174,31
18,174,174
18,241,18
18,241,20
18,241,31
18,241,240
18,241,241
19,64,19
19,64,64
19,101,19
19,101,64
19,101,101
19,175,19
19,175,175
19,191,19
19,191,175
19,191,191
20,18,20
20,18,94
20,18,18
20,31,20
20,31,31
20,47,20
20,47,31
20,47,78
20,47,59
20,47,47
20,78,20
20,78,31
20,78,78
20,94,20
20,94,94
20,174,20
20,174,31
20,174,174
21,22,21
21,22,22
21,26,21
21,26,26
21,108,21
21,108,108
21,123,21
21,123,178
21,123,123
21,178,21
21,178,178
22,11,22
22,11,11
22,21,22
22,21,21
22,26,22
22,26,26
22,67,22
22,67,67
23,99,23
23,99,99
23,118,23
23,118,99
23,118,118
23,156,23
23,156,156
23,187,23
23,187,187
23,251,23
23,251,99
23,251,118
23,251,251
24,41,24
24,41,43
24,41,41
24,43,24
24,43,43
24,151,24
24,151,43
24,151,151
24,166,24
24,166,166
25,33,25
25,33,52
25,33,54
25,33,33
25,40,25
25,40,52
25,40,54
25,40,40
25,52,25
25,52,52
25,65,25
25,65,65
25,97,25
25,97,97
25,106,25
25,106,106
25,181,25
25,181,52
25,181,54
25,181,195
25,181,228
25,181,111
25,181,257
25,181,190
25,181,181
26,21,26
26,21,21
26,22,26
26,22,22
26,67,26
26,67,67
26,89,26
26,89,111
26,89,257
26,89,190
26,89,89
26,111,26
26,111,111
26,133,26
26,133,111
26,133,133
26,178,26
26,178,111
26,178,257
26,178,190
26,178,89
26,178,178
26,227,26
26,227,111
26,227,227
27,201,27
27,201,201
28,93,28
28,93,93
28,121,28
28,121,93
28,121,192
28,121,121
28,130,28
28,130,93
28,130,134
28,130,130
28,131,28
28,131,131
28,134,28
28,134,93
28,134,134
28,135,28
28,135,93
28,135,135
28,197,28
28,197,93
28,197,134
28,197,96
28,197,197
29,55,29
29,55,55
29,108,29
29,108,108
29,123,29
29,123,123
29,150,29
29,150,150
29,210,29
29,210,150
29,210,154
29,210,210
30,2,30
30,2,2
31,20,31
31,20,20
31,32,31
31,32,32
31,78,31
31,78,78
31,174,31
31,174,174
31,185,31
31,185,185
31,240,31
31,240,240
31,242,31
31,242,242
31,254,31
31,254,254
32,3,32
32,3,31
32,3,242
32,3,184
32,3,3
32,31,32
32,31,31
32,185,32
32,185,31
32,185,185
32,254,32
32,254,31
32,254,254
33,25,33
33,25,54
33,25,52
33,25,25
33,52,33
33,52,54
33,52,52
33,54,33
33,54,54
33,65,33
33,65,65
33,66,33
33,66,66
33,209,33
33,209,209
34,49,34
34,49,49
34,66,34
34,66,66
34,97,34
34,97,97
34,217,34
34,217,217
34,256,34
34,256,256
35,61,35
35,61,61
35,72,35
35,72,72
35,76,35
35,76,76
35,77,35
35,77,77
35,177,35
35,177,177
36,37,36
36,37,96
36,37,37
36,80,36
36,80,96
36,80,198
36,80,80
36,96,36
36,96,96
36,198,36
36,198,96
36,198,198
37,17,37
37,17,17
37,36,37
37,36,96
37,36,36
37,63,37
37,63,96
37,63,63
37,80,37
37,80,96
37,80,198
37,80,80
37,96,37
37,96,96
37,177,37
37,177,96
37,177,63
37,177,177
37,225,37
37,225,96
37,225,63
37,225,177
37,225,225
38,139,38
38,139,139
38,191,38
38,191,191
38,203,38
38,203,203
38,205,38
38,205,205
39,72,39
39,72,72
39,76,39
39,76,222
39,76,76
39,91,39
39,91,155
39,91,154
39,91,149
39,91,91
39,155,39
39,155,155
39,222,39
39,222,222
40,25,40
40,25,54
40,25,52
40,25,25
40,52,40
40,52,54
40,52,52
40,54,40
40,54,54
40,106,40
40,106,106
40,195,40
40,195,54
40,195,195
40,228,40
40,228,228
41,24,41
41,24,43
41,24,24
41,42,41
41,42,152
41,42,116
41,42,120
41,42,42
41,43,41
41,43,43
41,74,41
41,74,43
41,74,75
41,74,262
41,74,140
41,74,202
41,74,193
41,74,179
41,74,8
41,74,194
41,74,74
41,75,41
41,75,43
41,75,75
41,152,41
41,152,152
41,166,41
41,166,43
41,166,24
41,166,166
42,41,42
42,41,120
42,41,116
42,41,152
42,41,41
42,74,42
42,74,120
42,74,127
42,74,128
42,74,220
42,74,240
42,74,31
42,74,78
42,74,59
42,74,167
42,74,147
42,74,168
42,74,194
42,74,74
42,116,42
42,116,120
42,116,116
42,120,42
42,120,120
42,152,42
42,152,120
42,152,116
42,152,152
42,166,42
42,166,166
43,24,43
43,24,24
43,41,43
43,41,41
43,75,43
43,75,75
43,142,43
43,142,142
43,151,43
43,151,151
43,163,43
43,163,163
43,236,43
43,236,236
43,237,43
43,237,237
43,238,43
43,238,238
43,239,43
43,239,239
44,84,44
44,84,99
44,84,84
44,99,44
44,99,99
44,204,44
44,204,99
44,204,204
45,144,45
45,144,144
45,148,45
45,148,148
45,209,45
45,209,209
45,231,45
45,231,231
45,232,45
45,232,232
47,20,47
47,20,59
47,20,78
47,20,31
47,20,20
47,59,47
47,59,59
47,69,47
47,69,69
47,78,47
47,78,59
47,78,78
47,94,47
47,94,94
47,167,47
47,167,59
47,167,167
47,169,47
47,169,94
47,169,169
48,50,48
48,50,50
48,68,48
48,68,100
48,68,68
48,100,48
48,100,100
48,142,48
48,142,142
48,143,48
48,143,143
48,163,48
48,163,163
48,230,48
48,230,230
48,246,48
48,246,246
49,17,49
49,17,17
49,34,49
49,34,34
49,61,49
49,61,61
49,97,49
49,97,34
49,97,97
49,189,49
49,189,189
49,217,49
49,217,34
49,217,217
50,48,50
50,48,48
50,142,50
50,142,142
50,143,50
50,143,143
50,246,50
50,246,246
51,3,51
51,3,184
51,3,3
51,81,51
51,81,184
51,81,81
51,184,51
51,184,184
52,25,52
52,25,25
52,33,52
52,33,54
52,33,33
52,40,52
52,40,54
52,40,40
52,54,52
52,54,54
53,92,53
53,92,138
53,92,93
53,92,253
53,92,92
53,138,53
53,138,138
53,252,53
53,252,252
54,12,54
54,12,12
54,33,54
54,33,33
54,40,54
54,40,40
54,52,54
54,52,52
54,195,54
54,195,195
55,29,55
55,29,29
55,108,55
55,108,108
56,56,56
56,93,56
56,93,93
56,173,56
56,173,93
56,173,173
58,184,58
58,184,184
58,208,58
58,208,184
58,208,208
59,47,59
59,47,47
59,60,59
59,60,60
59,78,59
59,78,78
59,167,59
59,167,167
60,59,60
60,59,59
60,78,60
60,78,59
60,78,78
60,126,60
60,126,126
60,167,60
60,167,59
60,167,167
60,212,60
60,212,212
60,213,60
60,213,213
60,242,60
60,242,59
60,242,78
60,242,31
60,242,242
60,248,60
60,248,248
61,17,61
61,17,49
61,17,17
61,35,61
61,35,35
61,49,61
61,49,49
61,62,61
61,62,189
61,62,190
61,62,62
61,72,61
61,72,189
61,72,190
61,72,62
61,72,72
61,177,61
61,177,177
61,189,61
61,189,189
61,225,61
61,225,177
61,225,225
62,61,62
62,61,190
62,61,189
62,61,61
62,72,62
62,72,72
62,188,62
62,188,190
62,188,188
62,189,62
62,189,190
62,189,189
62,190,62
62,190,190
63,37,63
63,37,96
63,37,37
63,76,63
63,76,124
63,76,76
63,96,63
63,96,96
63,124,63
63,124,124
63,177,63
